id , name , release_date , id_label , id_band , type , image , id_genre , duration , link , allowed , listened , img_auth 
13 , where fear and weapons meet , 0000-00-00 , 0 , 3 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 0 
14 , the blind leading the blind , 0000-00-00 , 0 , 3 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 0 
